Plot,Subplot,Spec,St,Ht,Browse,Plot Size,Seed Tree,Comments,,,,
M28,,PIPO,L,73,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,42,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,78,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,74,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,36,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,61,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,73,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,38,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,47,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,79,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,40,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,37,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,67,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,58,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,51,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,22,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,54,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,43,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,61,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,6,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,10,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,14,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,59,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,42,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,12,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,50,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,42,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PSME,L,11,,120,ABGR 66; PIPO 47; PSME 64,,,,,
BCN11,N/A,N/A,N/A,N/A,0,200,Pipo=158; Psme=137,,,,,
BCS6,N/A,N/A,N/A,N/A,0,200,Psme=110; Laoc=143; Pipo=146,,,,,
HRN1,N/A,N/A,N/A,N/A,,200,Pipo=261,,,,,
HRS8,N/A,N/A,N/A,N/A,N/A,200,Pipo=77; Psme=82,,,,,
HRN11,,PIPO,L,210,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PIPO,L,320,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PIPO,L,140,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PIPO,L,240,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PIPO,L,230,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PIPO,L,140,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN2,,PIPO,L,80,,200,Pipo=334,,,,,
HRS4,,PIPO,L,60,,200,Pipo=99,,,,,
BCN10,3,PIPO,D,270,0,200,Pipo=67; Psme=79,,,,,
BCN4,1,PIPO,L,230,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,1,PIPO,L,110,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,2,PIPO,L,60,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,3,PIPO,L,300,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,240,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,260,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,120,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,220,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,130,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,90,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,110,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,160,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,160,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,170,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PIPO,L,70,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN6,1,PIPO,L,60,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,2,PIPO,L,110,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,3,PIPO,L,110,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,60,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,110,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,110,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,160,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,160,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,120,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
BCN6,4,PIPO,L,90,0,200,Pipo=62.5; Psme=62,a few 30 cm Psme,,,,
HRN11,,PSME,L,110,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PSME,L,20,,200,Pipo=72; Laoc=87; Psme=109,,,,,
HRN11,,PSME,L,100,,200,Pipo=72; Laoc=87; Psme=109,,,,,
BCN4,3,PSME,L,130,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,220,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,90,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,90,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,60,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,80,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,130,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,80,0,200,Pipo=67.5; Psme=79.7,,,,,
BCN4,4,PSME,L,50,0,200,Pipo=67.5; Psme=79.7,barely alive,,,,
H2,,ABGR,L,22,,240,PSME 115; PIPO 136,,,,,
H2,,ABGR,L,29,,240,PSME 115; PIPO 136,,,,,
H2,,ABGR,L,17,,240,PSME 115; PIPO 136,,,,,
H2,,ABGR,L,21,,240,PSME 115; PIPO 136,,,,,
H2,,ABGR,L,30,,240,PSME 115; PIPO 136,,,,,
H2,,ABGR,L,25,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,97,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,61,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,60,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,68,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,55,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,51,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,45,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,18,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,40,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,56,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,47,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,48,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,35,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,35,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,57,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,53,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,50,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,43,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,56,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,53,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,50,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,62,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,31,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,69,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,60,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,48,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,55,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,59,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,20,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,75,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,79,,240,PSME 115; PIPO 136,,,,,
H2,,PIPO,L,28,,240,PSME 115; PIPO 136,,,,,
H2,,PSME,L,26,,240,PSME 115; PIPO 136,,,,,
H2,,PSME,L,2,,240,PSME 115; PIPO 136,,,,,
H2,,PSME,L,10,,240,PSME 115; PIPO 136,,,,,
H12,,ABGR,L,23,,300,PIPO 154,,,,,
H12,,ABGR,L,35,,300,PIPO 154,,,,,
H12,,ABGR,L,29,,300,PIPO 154,,,,,
H12,,ABGR,L,20,,300,PIPO 154,,,,,
H12,,ABGR,L,20,,300,PIPO 154,,,,,
H12,,ABGR,L,31,,300,PIPO 154,,,,,
H12,,ABGR,L,42,,300,PIPO 154,,,,,
H12,,ABGR,L,25,,300,PIPO 154,,,,,
H12,,ABGR,L,31,,300,PIPO 154,,,,,
H12,,ABGR,L,28,,300,PIPO 154,,,,,
H12,,ABGR,L,14,,300,PIPO 154,,,,,
H12,,ABGR,L,16,,300,PIPO 154,,,,,
H12,,ABGR,L,26,,300,PIPO 154,,,,,
H12,,ABGR,L,13,,300,PIPO 154,,,,,
H12,,ABGR,L,16,,300,PIPO 154,,,,,
H12,,ABGR,L,28,,300,PIPO 154,,,,,
H12,,ABGR,L,21,,300,PIPO 154,,,,,
H12,,ABGR,L,36,,300,PIPO 154,,,,,
H12,,ABGR,L,28,,300,PIPO 154,,,,,
H12,,ABGR,L,20,,300,PIPO 154,,,,,
H12,,ABGR,L,24,,300,PIPO 154,,,,,
H12,,ABGR,L,26,,300,PIPO 154,,,,,
H12,,ABGR,L,20,,300,PIPO 154,,,,,
H12,,ABGR,L,17,,300,PIPO 154,,,,,
H12,,ABGR,L,31,,300,PIPO 154,,,,,
H12,,ABGR,L,9,,300,PIPO 154,,,,,
H12,,ABGR,L,22,,300,PIPO 154,,,,,
H12,,ABGR,L,15,,300,PIPO 154,,,,,
H12,,ABGR,L,29,,300,PIPO 154,,,,,
H12,,ABGR,L,9,,300,PIPO 154,,,,,
H12,,ABGR,L,18,,300,PIPO 154,,,,,
H12,,ABGR,L,36,,300,PIPO 154,,,,,
H12,,ABGR,L,30,,300,PIPO 154,,,,,
