"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","delta_nbr","dnbr","absolute_regrowth","relative_regrowth","max.postfire.nbr","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"35","-118.981536421_45.022371279",-118.981536421,45.022371279,"BCN11","BC",55,111,91,611,750,1082,"Y","N",523,484,676,702,606,675,623,639,591,567,0,120,116,127,102,94,241,134,300,285,284,279,231,281,608.6,180.3,60,-428.3,567,-116.968198481089,-0.873933479810888,300,0.492934604009201,NA,NA,461.994244944837,1.36385881928926,15.1226103308388,1.48723857510119,14.4212372460179,8.24323457506403
"36","-119.17446557_44.197868422",-119.17446557,44.197868422,"FL-9-2","Flagtail",55,110,181,570,706,1494,"Y","N",469,372,450,466,424,468,526,427,431,516,0,0,0,0,48,57,199,157,62,51,84,37,68,31,454.9,65.8,0,-389.1,516,-86.4249300683317,-0.707609188278003,199,0.437458782149923,NA,NA,456.670672435469,-2.32379824030516,14.0383993251841,0.840435454506477,14.2527143927179,5.85730054243944
"37","-119.180094152_44.203420158",-119.180094152,44.203420158,"FL-B7-3","Flagtail",45,110,195,548,683,1562,"Y","N",337,277,288,302,211,254,306,310,282,316,0,0,0,49,0,33,158,270,253,380,249,365,279,279,288.3,139.2,0,-149.1,316,-28.7760467580015,-0.369248820387183,380,1.31807145334721,7,7,456.670672435469,-2.32379824030516,14.0383993251841,0.840435454506477,14.2527143927179,5.85730054243944
"38","-119.182763699_44.201019306",-119.182763699,44.201019306,"FL-5-1","Flagtail",55,110,201,548,683,1494,"Y","N",372,314,397,452,414,420,424,408,368,422,0,0,0,0,12,56,144,243,245,318,338,278,242,278,399.1,135.6,0,-263.5,422,-68.3163152781581,-0.654881215231871,338,0.846905537459283,10,7,456.670672435469,-2.32379824030516,14.0383993251841,0.840435454506477,14.2527143927179,5.85730054243944
"39","-119.183264092_44.17897627",-119.183264092,44.17897627,"FL-7-1","Flagtail",0,100,200,523,658,1648,"Y","N",434,468,442,496,415,407,499,442,427,440,0,0,0,210,146,144,248,273,294,357,253,315,316,337,447,192.5,0,-254.5,440,32.5273115548541,0.291716596196752,357,0.798657718120805,NA,7,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"40","-119.189834631_44.186306696",-119.189834631,44.186306696,"FL-10-1","Flagtail",45,110,88,552,686,1655,"Y","N",292,285,336,336,327,371,416,376,387,398,0,0,0,0,97,124,233,260,251,275,201,295,259,295,352.4,144.1,0,-208.3,398,1.58139008135961,0.0149628439109718,295,0.837116912599319,11,6,494.501076470563,-1.05351021131872,13.6623360528164,1.18704339878075,13.569474591416,6.30441292074885
"41","-119.195086347_44.179283706",-119.195086347,44.179283706,"FL-6-2","Flagtail",45,110,202,551,685,1549,"Y","N",229,243,266,326,271,361,346,201,271,346,16,0,0,38,0,0,31,0,24,80,56,34,82,106,286,22.9,8,-263.1,330,-109.80581088376,-1.59034799363717,106,0.370629370629371,NA,NA,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"42","-119.201183193_44.170926427",-119.201183193,44.170926427,"FL-4-2","Flagtail",45,110,154,551,685,1537,"Y","N",216,317,236,335,288,279,364,335,292,279,0,0,0,14,0,0,0,0,0,0,0,0,5,0,294.1,1.4,0,-292.7,279,-106.018492804124,-1.24517720526617,14,0.0476028561713703,NA,NA,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"43","-119.204682614_44.17341242",-119.204682614,44.17341242,"FL-5-2","Flagtail",45,109,177,541,676,1537,"Y","N",59,110,51,180,90,155,176,85,44,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,-104.2,92,-22.9170249169164,-0.833358158209923,0,0,NA,NA,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"44","-119.20991948_44.155743479",-119.20991948,44.155743479,"FL-B5-2","Flagtail",55,110,168,519,650,1667,"Y","N",356,367,467,427,453,432,453,461,469,504,80,0,51,100,102,158,212,216,190,231,275,275,336,368,438.9,153.5,40,-285.4,424,-61.1173100171948,-0.55923957724551,368,0.838459785828207,13,10,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"45","-119.294647911_43.855647194",-119.294647911,43.855647194,"EG-3-X","Egley",45,110,179,575,705,1547,"Y","N",313.776458740234,318.060333251953,314.013214111328,308.724822998047,312.987945556641,264.409210205078,326.276000976562,304.662078857422,367.965362548828,366.078277587891,26.5721874237061,-172.438934326172,-132.793243408203,-81.7819137573242,28.3277492523193,-30.2670631408691,-38.3720932006836,-52.390495300293,-66.4094772338867,-19.4297256469727,-19.111442565918,-10.1010103225708,8.88450145721436,33.7820663452148,319.695370483398,-58.4666639328003,-72.9333734512329,-378.162034416199,339.506090164185,-123.486483404945,-1.06391705430519,33.7820663452148,0.105669551279815,NA,NA,428.229721416503,-2.03778745468622,13.4720648866282,0.992961032941856,13.6255065843886,5.71713871597101
"46","-119.299793337_43.858278216",-119.299793337,43.858278216,"EG-2-3","Egley",25,110,193,575,705,1548,"Y","N",92.0940780639648,89.0736312866211,66.1276321411133,72.6623001098633,56.6361541748047,107.068298339844,80.7600936889648,83.5486679077148,141.344955444336,150.283828735352,-384.437377929688,-404.730255126953,-231.020401000977,-184.254608154297,25.1389255523682,50.676570892334,59.1597595214844,2.89549875259399,48.9586143493652,90.2121124267578,76.9621505737305,106.125534057617,67.9205856323242,79.099006652832,93.9599639892578,-46.6001632213593,-394.58381652832,-140.560127210617,534.721206665039,188.966567086412,1.67330423110811,106.125534057617,1.12947610398989,9,6,428.229721416503,-2.03778745468622,13.4720648866282,0.992961032941856,13.6255065843886,5.71713871597101
"47","-119.305205962_43.833800707",-119.305205962,43.833800707,"EG-8-1","Egley",35,110,201,645,779,1409,"Y","Y",281.487731933594,392.022003173828,326.99462890625,261.944000244141,270.598083496094,309.106842041016,276.148803710938,283.333343505859,286.755249023438,297.005004882812,-370.936889648438,-334.054046630859,-242.624084472656,-131.958755493164,-131.638229370117,-70.6274642944336,-113.916259765625,-27.5944805145264,-67.4882659912109,13.8128747940063,103.234153747559,81.4614334106445,125.136611938477,105.882354736328,298.539569091797,-100.285455799103,-352.495468139648,-398.8250248909,667.94189453125,-3.2300271891317,-0.0217195355987089,125.136611938477,0.419162566353135,NA,NA,381.967649337038,-1.95628843470339,13.8395454300178,1.00276706659255,14.090688616223,5.94162849765722
"48","-119.339349862_43.633328522",-119.339349862,43.633328522,"EG-6-3","Egley",25,110,165,596,727,1594,"Y","N",206.824142456055,230.551620483398,227.951538085938,143.552307128906,56.2162170410156,99.9718399047852,130.140838623047,254.838714599609,269.423217773438,294.81396484375,-364.574127197266,-112.606781005859,141.326538085938,223.667434692383,230.527145385742,237.228118896484,187.072036743164,148.913330078125,112.257278442383,189.839569091797,250.791976928711,171.775894165039,147.344375610352,198.48567199707,191.428440093994,160.901664733887,-238.590454101562,-30.5267753601074,659.388092041016,209.919637404285,3.11592558206526,250.791976928711,1.31010824099893,3,2,346.305071837517,-1.93173528485119,13.6899623233357,1.12225370948271,14.0922697409313,5.87911351924227
"49","-119.367521316_43.825161155",-119.367521316,43.825161155,"EG-4-3","Egley",45,110,117,620,754,1501,"Y","N",327.017822265625,293.763427734375,336.279632568359,319.354827880859,301.204833984375,351.085632324219,374.647888183594,325.638916015625,342.521270751953,363.859375,-286.334045410156,-243.348983764648,-39.7301330566406,55.9334831237793,102.09992980957,158.812133789062,168.472900390625,135.842880249023,196.531799316406,217.011367797852,227.915191650391,184.023666381836,199.757141113281,252.753799438477,333.537362670898,97.954056930542,-264.841514587402,-235.583305740356,650.193420410156,146.404603020536,1.12142890141849,252.753799438477,0.757797559513202,NA,9,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"50","-119.371444232_43.82988332",-119.371444232,43.82988332,"EG-7-1","Egley",45,110,127,585,718,1505,"Y","N",363.573883056641,355.572998046875,397.572082519531,361.036987304688,361.312469482422,346.595245361328,346.1689453125,345.167663574219,382.445129394531,417.681732177734,-354.078277587891,-321.897796630859,-118.210861206055,25.0406513214111,-6.74846649169922,52.1739120483398,32.7251663208008,90.4858856201172,123.903511047363,138.075317382812,183.908050537109,158.388931274414,137.509750366211,189.054733276367,367.712713623047,19.9455369949341,-337.988037109375,-347.767176628113,771.760009765625,71.9055217043637,0.484672177796053,189.054733276367,0.514137059373402,NA,NA,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"51","-119.373051135_43.686044582",-119.373051135,43.686044582,"EG-12-1","Egley",45,110,182,518,642,1763,"Y","N",355.378173828125,373.066772460938,390.933746337891,354.484924316406,368.460968017578,345.683868408203,371.881195068359,415.050415039062,439.970977783203,406.525909423828,-386.189270019531,-365.975708007812,32.3740997314453,224.162017822266,87.967643737793,-50.7386016845703,71.6454162597656,64.1664199829102,124.73950958252,198.817840576172,300.655456542969,332.182922363281,435.760803222656,456.90673828125,382.143695068359,68.7814094543457,-376.082489013672,-313.362285614014,792.715179443359,85.9015045629124,0.595676438695543,456.90673828125,1.19564117942471,11,10,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825
"52","-119.374286218_43.829604722",-119.374286218,43.829604722,"EG-B9-1","Egley",35,110,204,561,689,1505,"Y","N",228.736022949219,232.727279663086,235.212249755859,223.087814331055,227.946365356445,213.759216308594,244.653854370117,233.087982177734,242.290756225586,276.877746582031,-428.458190917969,-351.206420898438,-202.465927124023,-105.022834777832,-109.001838684082,-112.107620239258,-45.1045112609863,-4.57358074188232,25.0876712799072,6.25651741027832,58.1632652282715,47.4205322265625,91.44384765625,90.1356048583984,235.837928771973,-83.9975279808044,-389.832305908203,-319.835456752777,705.3359375,46.9946412726844,0.345820656182068,91.44384765625,0.387740208423664,NA,NA,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
